time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
113.19571423530579,-0.63,1.11,-0.59,57.84,-69.65,250.13
113.26218295097351,-0.57,0.52,-0.27,-11.81,-215.81,250.13
113.29589581489563,-0.49,0.46,-0.95,-14.12,-156.52,250.13
113.35525798797607,-0.31,0.34,-0.74,70.06,18.06,-152.61
113.42176818847656,-0.2,1.03,-0.57,40.63,90.58,-50.07
113.4830551147461,-0.1,0.54,-0.41,-53.08,-55.84,-38.22
113.549733877182,-0.46,0.89,-1.0,-17.47,49.0,-124.82
113.6162281036377,-0.34,0.46,-0.4,-31.52,114.08,-158.2
113.65026950836182,-0.76,0.03,-0.68,-179.21,112.1,-250.14
113.71632599830627,-1.99,-0.16,-0.34,-161.08,250.13,-250.14
113.78288865089417,-1.65,1.27,-0.32,-112.88,229.93,-250.14
113.84962272644043,-0.41,1.2,-0.26,16.13,90.52,102.9
113.91603088378906,-0.91,0.02,-0.31,-57.53,-250.14,250.13
113.94999837875366,-1.16,-0.19,-1.36,-14.38,-113.98,107.02
114.01629447937012,-0.96,0.36,-0.68,67.79,173.83,-91.21
114.08279037475586,-0.45,0.42,-0.29,8.49,64.82,17.88
114.14927959442139,-0.66,0.64,-0.72,-17.25,-98.32,130.85
114.18305397033691,-0.72,0.3,-0.67,33.02,-56.43,178.9
114.24950098991394,-0.63,0.47,-0.78,30.08,-72.58,79.04
114.31595134735107,-0.6,0.5,-0.6,38.54,-17.91,108.47
114.38238596916199,-0.56,0.67,-0.63,34.37,-62.06,125.82
114.41631412506104,-0.62,0.75,-0.54,54.86,-69.79,199.84
114.48302626609802,-0.54,1.01,-0.47,63.1,-116.35,250.13
114.54915595054626,-0.46,0.53,-0.53,-1.63,-232.91,250.13
114.61569738388062,-0.41,0.56,-1.05,40.36,-100.08,77.2
114.64940333366394,-0.1,0.54,-0.66,33.73,59.97,3.58
114.71581697463989,-0.15,0.85,-0.56,21.44,-10.38,-88.89
114.78266954421997,-0.12,0.89,-0.65,-8.83,13.79,68.56
114.84880065917969,-0.17,0.64,-0.63,-4.98,-37.63,-18.16
114.88239192962646,-0.17,0.83,-0.74,2.29,23.56,4.7
114.9487521648407,-0.14,0.75,-0.56,9.95,0.84,-26.33
115.01516008377075,-0.16,0.84,-0.68,-1.92,-12.29,1.74
115.04909372329712,-0.16,0.83,-0.68,7.69,5.28,12.36
115.1147198677063,-0.12,0.63,-0.61,-9.99,-9.69,2.29
115.1796658039093,-0.22,0.86,-0.75,12.21,-0.84,-43.59
115.21334052085876,-0.12,0.78,-0.57,0.13,21.03,27.85
115.28002619743347,-0.15,0.74,-0.7,-7.22,-38.06,-32.61
115.34628963470459,-0.22,0.79,-0.72,6.18,27.51,1.47
115.37984418869019,-0.15,0.71,-0.6,-2.82,-2.6,-32.41
115.4465217590332,-0.2,0.85,-0.73,-1.05,6.08,-5.4
115.5127763748169,-0.2,0.68,-0.6,4.73,1.53,0.68
115.5467779636383,-0.21,0.81,-0.73,-3.27,-6.99,-16.07
115.61285090446472,-0.19,0.71,-0.63,-1.58,8.91,6.68
115.67942881584167,-0.22,0.75,-0.69,1.34,-8.79,-25.29
115.71292328834534,-0.19,0.8,-0.69,-2.57,13.82,4.13
115.77941226959229,-0.21,0.74,-0.62,-4.97,-7.57,3.18
115.84595990180969,-0.2,0.79,-0.73,-3.98,-4.85,-10.07
115.8796648979187,-0.2,0.75,-0.66,-2.21,14.13,6.06
115.94719958305359,-0.2,0.79,-0.65,-4.19,-8.93,-1.4
116.01364994049072,-0.22,0.74,-0.7,-2.34,-1.51,-2.71
116.04736137390137,-0.22,0.75,-0.66,-3.78,9.24,-7.7
116.11355185508728,-0.2,0.82,-0.66,-1.56,1.32,2.08
116.17656064033508,-0.23,0.73,-0.65,-1.73,-6.08,1.22
116.20945048332214,-0.2,0.76,-0.69,-3.34,0.4,4.63
116.2681291103363,-0.22,0.73,-0.67,-0.18,-0.5,-13.49
116.33444571495056,-0.23,0.82,-0.67,6.51,7.97,-11.6
116.40084075927734,-0.19,0.76,-0.64,-2.31,-5.18,6.01
116.4345121383667,-0.26,0.74,-0.68,2.0,-10.0,-6.85
116.50096106529236,-0.24,0.74,-0.66,1.28,8.43,-0.59
116.55524945259094,-0.25,0.76,-0.64,8.07,-3.3,-18.93
116.62139749526978,-0.22,0.74,-0.66,-6.89,0.73,7.94
116.65507340431213,-0.24,0.75,-0.68,-2.99,-2.09,-18.74
116.72166776657104,-0.23,0.77,-0.63,0.27,14.04,-0.2
116.78800344467163,-0.22,0.74,-0.68,-9.03,-7.69,-19.95
116.82167959213257,-0.25,0.8,-0.66,-0.05,19.02,2.15
116.88820338249207,-0.2,0.67,-0.61,-16.14,-11.31,-18.41
116.95467519760132,-0.33,0.8,-0.75,-0.7,18.4,-47.56
117.0211250782013,-0.25,0.72,-0.6,-9.73,23.27,-52.02
117.0548722743988,-0.33,0.81,-0.66,-9.48,20.68,-49.17
117.12132716178894,-0.3,0.73,-0.61,-9.97,17.49,-24.72
117.18777990341187,-0.35,0.7,-0.65,-21.32,1.89,-29.49
117.2214663028717,-0.41,0.73,-0.68,-9.4,22.85,-56.66
117.28780961036682,-0.36,0.76,-0.6,-1.85,32.95,-38.87
117.35440230369568,-0.36,0.83,-0.61,-2.06,-0.06,2.15
117.41986918449402,-0.34,0.72,-0.61,-4.53,-18.84,51.6
117.45339512825012,-0.42,0.62,-0.7,-9.88,-24.51,5.34
117.52000188827515,-0.4,0.71,-0.69,2.57,28.49,-20.21
117.58648037910461,-0.34,0.74,-0.58,-0.56,14.39,-16.56
117.62014269828796,-0.37,0.75,-0.64,-5.94,-11.99,9.53
117.68682527542114,-0.39,0.65,-0.66,-6.71,-6.47,3.61
117.75292897224426,-0.4,0.71,-0.68,-0.18,9.78,-25.64
117.78683400154114,-0.38,0.73,-0.6,1.03,13.02,-10.09
117.85302066802979,-0.38,0.75,-0.64,-4.07,-9.2,5.74
117.91948652267456,-0.39,0.65,-0.64,-7.4,-7.42,9.16
117.95314741134644,-0.41,0.7,-0.69,-4.24,7.41,-17.06
118.01978087425232,-0.4,0.7,-0.61,0.44,15.44,-19.85
118.08620810508728,-0.41,0.75,-0.61,-4.02,2.55,-6.05
118.12016987800598,-0.4,0.69,-0.63,-5.06,-4.71,2.36
118.1864218711853,-0.42,0.69,-0.66,-2.89,-1.21,-1.63
118.25273251533508,-0.4,0.71,-0.66,-0.16,6.8,-9.49
118.28656959533691,-0.41,0.69,-0.62,-1.93,3.69,-4.81
118.35276055335999,-0.42,0.72,-0.64,-2.2,-0.56,-4.24
118.4192886352539,-0.42,0.68,-0.61,1.23,-0.38,-0.74
118.45273900032043,-0.42,0.7,-0.65,-2.95,-2.76,-2.72
118.51922178268433,-0.41,0.69,-0.63,-0.63,4.43,0.73
118.58587980270386,-0.43,0.68,-0.61,-0.11,-2.82,-7.45
118.62001776695251,-0.42,0.73,-0.66,-1.5,2.93,-2.21
118.68590641021729,-0.42,0.69,-0.62,-0.79,2.2,3.63
118.75251173973083,-0.41,0.7,-0.65,-2.03,-6.76,-2.39
118.78590798377991,-0.41,0.68,-0.64,-1.18,4.1,3.13
